Country,Number of DAA courses
Argentina,"1,200"
Australia,"40,000"
Brazil,"41,200"
China,"133,000"
Egypt,"700,000"
France,"45,000"
Georgia,"21,700"
Indonesia,400
Mongolia,"6,500"
Morocco,"6,500"
Pakistan,"161,000"
Romania,"6,000"
Rwanda,"1,000"
South Africa,160
Spain,"72,000"
Ukraine,"2,500"
United Kingdom,"12,000"
